stars,text,publishedAtDate
1,"my recent experience at the Neo Soho branch was severely disappointing due to the unacceptable level of service. We asked for refills of banchan multiple times (at least three separate requests) from different staff members, and they never once materialized. This is a clear case of staff either ignoring the table, such bad awful service, better go to pik bornga, 100% much better",2025-10-31T13:25:17.334Z
1,sangat kurang memuaskan,2025-10-05T08:15:11.179Z
1,semua nya sangat tidak memuaskan,2025-10-05T08:14:19.657Z
3,,
3,,
1,"makan ber8, tapi bancannya dikasih secuil. mau minta lg selalu diblg nanti ya ditnya ke manager dulu. padahal kan korbeq itu free refil banchan.
 
 pesen sundubu jigae, ga dikasih mangkok sm sendok sup, harus diminta dulu.
 
 pelayan nya super jutek, mending makan korbeq di tempat lain",2025-09-07T12:06:31.658Z
1,"Saya diajak temen saya, untuk nongkrong disini. Katanya untuk pelayanan yang di Central park ok, mungkin disini pun begitu. Ternyata dluar dugaan saya, pelayananny buruk sekali untuk mba yg kemarin memberikan rekomendasi minuman ke saya, sangat tidak niat bekerja, lalu teman saya juga saat sedang membayar , bukti billnya di lempar di meja. Tolong di perhatikan lagi ya untuk karyawan/karyawati yang bekerja di sana. Attitude kalian pun akan di perhatikan oleh Customer. ( saya tandai kamu ya mba yg kmrin begitu) jgn sampai ketika saya dtng lg kesana kelakuanny masi sama. Saya akan langsung panggil Manager kamu:) , sekian.",2025-12-01T03:36:58.335Z
1,"SETIAP DATENG KESINI SERVICE NYA BAD BGTTT!!! SELALU AJA KITA ADA KOMPLAINAN. PADAHAL HARGA MAKANAN DAN MINUMAN NYA JUGA GA YG MURAH JUGA. SEBENERNYA GA MASALAH MENGENAI HARGA, TAPI SEMUA ORG PASTI KAN MELIHAT KE WORTH IT AN NYA. BEBERAPA KALI KSNI KARNA TINGGAL DISINI, KIRAIN CUMA KARNA KESALAHAN SESEKALI AJA. TURNS OUT KONSISTEN SELALU BIKIN KITA KOKPLAIN. MAKANAN OK TAPI PORSI NYA GA WORTH IT BGTTTTT DENGAN HARGA YG KITA BAYAR!!!! when we get the bill, we paid for service, tapi bad service pun kita bayar?!!!! Beli spaghetti bolognese, daging nya gaada bener2 se ucrit!!!! As we know, spaghetti modal nya murah bgt, dengan mereka kasi harga diatas 130k an per porsi bener2 ga worth it sihhhh!!!!! Sekelas union yg lebih mahal pun ga separah ini!!!! union worth every penny!!",2025-11-15T12:03:07.711Z
1,Saya tidak mengerti ya dengan restoran ini. Harga mahal tapi kualitas rasa n platingnya biasa aja. Setau saya ini masih dalam naungan champ resto. Mgkin ga cuma saya aja yg komplain sebagian besar orang yang pernah dining di monsieur juga komplain dgn kualitasnya tetapi tidak ditanggapi oleh manajemen. Padahal champ resto perusahaan besar loh.,2025-11-08T07:13:05.196Z
1,"Pesanan minuman salah
 Dan yg paling zonk lama nunggu ampe manggil waiter 2x buat mastiin pesenan kok belum dateng2
 Jdnya makan kue doang ga pake minum id kburu males
 Anyep",2025-10-05T07:32:05.512Z
5,,
1,"Cek kasir atau pelayan yang kerja di MONSIEUR SPOON TAMAN ANGGREK pada tgl 8 september sekitar jam 13.00. Sekelas monsieur spoon bisa membocorkan data pelanggan, mulai dari nomor meja makan, menu yg saya pesan bahkan sampe memfotokan bill makanan saya lalu dikirim ke org lain. Maksudnya ? Karyawan perempuan saya gak mau tau silahkan di urus.",2025-09-17T05:49:22.672Z
4,,
5,,
1,"Makanannya sangat enak tapi sayang bumbu bakaranya kurang medok sama nasinya keras terus dingin ga panas sama sekali
 Mba mba pelayannya banyak tapi ketika saya komplain ga ada sama sekali yang denger pada sibuk ngobrol di kasir",2025-11-15T13:29:31.062Z
5,,
1,buruk banget,2025-10-12T10:11:51.100Z
5,,
1,"Jam buka ngga di update di gmap. Ngerjain orang aja kesana, udah tau daerah tj duren macet nya kayak apa. Bisa masukin location ke gmap, tapi ngga bisa update jam buka, niat setengah2",2024-03-24T12:34:57.375Z
1,,2025-09-23T03:39:15.909Z
1,,
5,,
5,,
1,,
5,,
